2015-10-26 09:19:12 main INFO  XmlBeanDefinitionReader:316 - Loading XML bean definitions from class path resource [application_context.xml]
2015-10-26 09:19:13 main INFO  GenericApplicationContext:513 - Refreshing org.springframework.context.support.GenericApplicationContext@3cca6f82: startup date [Mon Oct 26 09:19:13 CST 2015]; root of context hierarchy
2015-10-26 09:19:13 main INFO  PropertySourcesPlaceholderConfigurer:172 - Loading properties file from URL [file:/F:/project/Cloudeploy2.0/script-service/target/test-classes/application.properties]
2015-10-26 09:19:13 main INFO  LocalContainerEntityManagerFactoryBean:332 - Building JPA container EntityManagerFactory for persistence unit 'default'
2015-10-26 09:19:13 main INFO  LogHelper:46 - HHH000204: Processing PersistenceUnitInfo [
	name: default
	...]
2015-10-26 09:19:13 main INFO  Version:54 - HHH000412: Hibernate Core {4.3.6.Final}
2015-10-26 09:19:13 main INFO  Environment:239 - HHH000206: hibernate.properties not found
2015-10-26 09:19:13 main INFO  Environment:346 - HHH000021: Bytecode provider name : javassist
2015-10-26 09:19:13 main INFO  Version:66 - HCANN000001: Hibernate Commons Annotations {4.0.5.Final}
2015-10-26 09:19:13 main INFO  Dialect:145 - HHH000400: Using dialect: org.hibernate.dialect.MySQL5InnoDBDialect
2015-10-26 09:19:14 main INFO  ASTQueryTranslatorFactory:47 - HHH000397: Using ASTQueryTranslatorFactory
2015-10-26 09:19:14 main INFO  SchemaUpdate:182 - HHH000228: Running hbm2ddl schema update
2015-10-26 09:19:14 main INFO  SchemaUpdate:193 - HHH000102: Fetching database metadata
2015-10-26 09:19:14 main INFO  SchemaUpdate:205 - HHH000396: Updating schema
2015-10-26 09:19:14 main INFO  TableMetadata:66 - HHH000261: Table found: cloudeploy2.d_action
2015-10-26 09:19:14 main INFO  TableMetadata:67 - HHH000037: Columns: [id, display_name, component_id, update_time, define_file_key, name, create_time, show_in_resource_view]
2015-10-26 09:19:14 main INFO  TableMetadata:69 - HHH000108: Foreign keys: [fk_a99udcuan9eruccys7d25rnhc]
2015-10-26 09:19:14 main INFO  TableMetadata:70 - HHH000126: Indexes: [primary, fk_a99udcuan9eruccys7d25rnhc]
2015-10-26 09:19:14 main INFO  TableMetadata:66 - HHH000261: Table found: cloudeploy2.d_action_param
2015-10-26 09:19:14 main INFO  TableMetadata:67 - HHH000037: Columns: [action_id, id, update_time, view_type, param_type, description, default_value, create_time, param_key]
2015-10-26 09:19:14 main INFO  TableMetadata:69 - HHH000108: Foreign keys: [fk_6kkb3r9gbedbd486rigqqt8c1]
